Symbol,Date,Trading-Sign,Last,Change,%Change,Open,High,Low,TR-Volume,TR-Value-(k),Total-Volume,Total-Value-(k),Bid-Size,Bid,Offer,Offer-Size,Sector,Volume,Value,Unnamed:-8,Unnamed:-9,Unnamed:-10,Unnamed:-11,Unnamed:-12,Unnamed:-13,Unnamed:-14,Unnamed:-15,Market,SET,Industry,-Property-&-Construction,Property-Fund-&-REITs,Unnamed:-6,Unnamed:-7,-Services,Transportation-&-Logistics,-Technology,Information-&-Communication-Technology
IRPC,2023-02-01,-,3.08,0.0,0.0,3.08,3.1,3.06,0.0,0.0,17196293.0,52902.28874,13194700.0,3.06,3.08,1918900.0,,,,,,,,,,,,,,,,,,,,,,
ITD,2023-02-01,-,2.04,-0.02,-0.970873786407767,2.08,2.08,2.04,0.0,0.0,4462557.0,9198.434720000001,2158900.0,2.04,2.06,1378900.0,,,,,,,,,,,,,,,,,,,,,,
ITEL,2023-02-01,-,3.74,0.04,1.0810810810810811,3.7,3.8,3.7,0.0,0.0,3970612.0,14942.94908,438400.0,3.74,3.76,297000.0,,,,,,,,,,,,,,,,,,,,,,
IVL,2023-02-01,-,41.0,-0.25,-0.6060606060606061,41.0,41.25,40.5,0.0,0.0,6017730.0,246220.052,875500.0,40.75,41.0,945100.0,,,,,,,,,,,,,,,,,,,,,,
J,2023-02-01,-,3.92,0.0,0.0,3.92,3.96,3.9,0.0,0.0,177800.0,697.112,95800.0,3.92,3.94,36200.0,,,,,,,,,,,,,,,,,,,,,,
JAS,2023-02-01,-,2.34,0.0,0.0,2.36,2.36,2.32,0.0,0.0,6681911.0,15675.06398,1942600.0,2.34,2.36,5574200.0,,,,,,,,,,,,,,,,,,,,,,
JMART,2023-02-01,-,37.75,0.25,0.6666666666666666,37.75,38.25,37.25,0.0,0.0,4528778.0,171076.85225,298000.0,37.5,37.75,370500.0,,,,,,,,,,,,,,,,,,,,,,
JMT,2023-02-01,-,54.0,-0.25,-0.4608294930875576,54.25,55.0,53.25,0.0,0.0,9889690.0,533997.9785,235700.0,53.75,54.0,361100.0,,,,,,,,,,,,,,,,,,,,,,
JR,2023-02-01,-,6.75,0.0,0.0,6.75,6.8,6.7,0.0,0.0,654000.0,4399.69,49300.0,6.7,6.75,40300.0,,,,,,,,,,,,,,,,,,,,,,
JWD,2023-02-01,-,21.2,-0.2,-0.9345794392523364,21.5,21.6,21.1,0.0,0.0,3434599.0,73290.692,261800.0,21.2,21.3,136900.0,,,,,,,,,,,,,,,,,,,,,,
KAMART,2023-02-01,-,8.45,-0.25,-2.8735632183908044,8.75,8.75,8.45,0.0,0.0,5345110.0,45647.928850000004,381100.0,8.45,8.5,153200.0,,,,,,,,,,,,,,,,,,,,,,
KBANK,2023-02-01,-,144.5,0.0,0.0,144.5,145.5,144.0,0.0,0.0,9465659.0,1370303.129,1302400.0,144.0,144.5,740000.0,,,,,,,,,,,,,,,,,,,,,,
KCE,2023-02-01,-,56.5,1.0,1.8018018018018018,56.5,57.25,56.0,0.0,0.0,18303253.0,1035623.569,421200.0,56.25,56.5,317000.0,,,,,,,,,,,,,,,,,,,,,,
KEX,2023-02-01,-,18.7,0.2,1.0810810810810811,18.6,18.8,18.4,0.0,0.0,1311070.0,24445.9131,184400.0,18.6,18.7,80500.0,,,,,,,,,,,,,,,,,,,,,,
KGI,2023-02-01,-,5.2,-0.05,-0.9523809523809523,5.25,5.25,5.15,0.0,0.0,6808342.0,35383.90945000001,2677200.0,5.15,5.2,903600.0,,,,,,,,,,,,,,,,,,,,,,
KISS,2023-02-01,-,9.1,0.05,0.5524861878453039,9.1,9.2,9.1,0.0,0.0,4602199.0,42066.76575,192700.0,9.1,9.15,263600.0,,,,,,,,,,,,,,,,,,,,,,
