id,stock_id,name,year,quarter,number,ppu,amt,net,x_date,p_date
131,114,GFPT,2018,1,18000,0.3,5400.0,5400.0,2018-04-25,2018-04-25
130,28,THANI,2018,1,40000,0.28,11200.0,80.0,2018-04-27,2018-04-27
129,58,BA,2018,1,40000,0.3,12000.0,10800.0,2018-04-27,2018-04-27
128,118,PTT,2018,1,400,12.0,4800.0,4800.0,2018-04-27,2018-04-27
127,127,MEGA,2018,1,6000,0.4,2400.0,2160.0,2018-04-27,2018-04-27
126,110,FSMART,2018,1,21000,0.3,6300.0,5670.0,2018-04-27,2018-04-27
125,135,GC,2018,1,10000,0.22,2200.0,1980.0,2018-04-30,2018-04-30
124,124,WORK,2018,1,4800,0.9,4320.0,3888.0,2018-05-03,2018-05-03
123,43,MCS,2017,4,80000,0.4,32000.0,29840.0,2018-04-18,2018-05-07
122,100,TFG,2018,1,30000,0.05,1500.0,1425.0,2018-05-09,2018-05-09
121,15,SGP,2018,1,9000,1.0,9000.0,8100.0,2018-05-09,2018-05-09
120,113,SYNEX,2018,1,21000,0.35,7350.0,6615.0,2018-05-10,2018-05-10
119,134,SAT,2018,1,12000,0.65,7800.0,7128.0,2018-05-04,2018-05-04
118,119,CPALL,2018,1,1000,1.1,1100.0,990.0,2018-05-18,2018-05-18
117,122,PCSGH,2018,1,20000,0.17,3400.0,3060.0,2018-05-18,2018-05-18
116,130,BR,2018,1,30000,0.4,12000.0,10943.64,2018-05-18,2018-05-18
115,50,BEAUTY,2018,1,5000,0.258,1290.0,1161.0,2018-05-18,2018-05-18
114,109,TISCO,2018,1,4500,5.0,22500.0,20250.0,2018-05-18,2018-05-18
113,133,PLANB,2018,1,45000,0.045,2025.0,1822.5,2018-05-17,2018-05-17
112,128,ASIAN,2018,1,30000,0.25,7500.0,6750.0,2018-05-17,2018-05-17
111,66,AP,2018,1,30000,0.35,10500.0,9450.0,2018-05-24,2018-05-24
110,115,AMATA,2018,1,12000,0.33,3960.0,3564.0,2018-05-23,2018-05-23
109,111,COM7,2018,1,21000,0.35,7350.0,6615.0,2018-05-23,2018-05-23
106,51,VIBHA,2018,1,90000,0.036,3240.0,2916.0,2018-05-25,2018-05-25
105,27,IVL,2018,1,7000,0.55,3850.0,3465.0,2018-05-25,2018-05-25
104,129,CPNREIT,2018,1,40000,0.3975,15900.0,13662.0,2018-06-06,2018-06-06
103,31,SENA,2020,2,60000,0.129031,7741.86,6980.59,2020-09-11,2020-09-11
102,115,AMATA,2020,2,18000,0.1,1800.0,1620.0,2020-08-28,2020-09-11
101,48,JASIF,2020,2,100000,0.25,25000.0,25000.0,2020-09-02,2020-09-22
100,54,SAWAD,2018,1,7200,0.063,453.6,5.04,2018-05-21,2018-05-21
99,48,JASIF,2018,1,60000,0.22,13200.0,13200.0,2018-05-24,2018-06-12
98,136,AEONTS,2018,4,1200,2.25,2700.0,2430.0,2018-07-20,2018-07-20
97,110,FSMART,2018,2,21000,0.3,6300.0,5670.0,2018-09-04,2018-09-04
96,27,IVL,2018,2,9000,0.7,6300.0,5670.0,2018-09-04,2018-09-04
95,129,CPNREIT,2018,2,30000,0.4055,12165.0,10948.5,2018-09-06,2018-09-06
94,113,SYNEX,2018,2,24000,0.2,4800.0,4320.0,2018-09-07,2018-09-07
93,48,JASIF,2018,2,70000,0.23,16100.0,16100.0,2018-08-24,2018-09-11
92,7,LH,2018,2,30000,0.4,12000.0,10800.0,2018-08-28,2018-09-11
91,85,GPSC,2018,2,3000,0.45,1350.0,1215.0,2018-09-10,2018-09-10
90,122,PCSGH,2018,2,45000,0.1,4500.0,4050.0,2018-09-07,2018-09-07
89,127,MEGA,2018,2,6000,0.31,1860.0,1674.0,2018-09-13,2018-09-13
88,115,AMATA,2018,2,15000,0.23,3450.0,3105.0,2018-09-13,2018-09-13
87,95,PTTGC,2018,2,4500,1.75,7875.0,7650.0,2018-09-18,2018-09-18
86,30,BANPU,2018,2,12000,0.35,4200.0,3780.0,2018-09-28,2018-09-28
