id,stock_id,date,year,month,price,qty,amt,net,status,kind
406,109,2017-08-17,2017,8,70.75,500,35375.0,35453.36,Sold,TP
408,137,2017-11-21,2017,11,34.75,4000,139000.0,139307.87,Sold,TP
409,123,2017-11-15,2017,11,14.6,7000,102200.0,102426.36,Sold,TP
410,122,2017-11-13,2017,11,7.0,10000,70000.0,70155.04,Sold,TP
411,124,2017-11-22,2017,11,86.81,500,43405.0,43501.14,Sold,TP
412,113,2017-11-23,2017,11,14.5,8000,116000.0,116256.93,Sold,TP
413,124,2017-11-24,2017,11,86.81,600,52086.0,52201.37,Sold,TP
414,123,2017-11-15,2017,11,14.6,7000,102200.0,102426.36,Sold,TP
415,122,2017-11-11,2017,11,7.0,10000,70000.0,70155.04,Sold,TP
416,28,2017-11-24,2017,11,8.4,5000,42000.0,42093.03,Sold,TP
417,50,2017-11-24,2017,11,19.0,5000,95000.0,95210.42,Sold,TP
418,109,2017-11-27,2017,11,73.75,500,36875.0,36956.67,Sold,TP
419,1,2017-11-30,2017,11,26.0,4000,104000.0,104230.35,Sold,TP
433,28,2017-11-24,2017,11,8.4,10000,84000.0,84186.05,Sold,TP
434,109,2017-08-17,2017,8,78.0,500,39000.0,39086.38,Sold,TP
435,97,2017-08-16,2017,8,29.0,2000,58000.0,58128.46,Sold,TP
436,28,2017-11-24,2017,11,8.4,5000,42000.0,42093.03,Sold,TP
437,91,2017-11-16,2017,11,37.0,3000,111000.0,111245.85,Sold,TP
439,50,2017-11-24,2017,11,18.2,4000,72800.0,72961.25,Sold,TP
440,126,2017-12-26,2017,12,17.0,5000,85000.0,85188.27,Sold,TP
441,111,2017-12-29,2017,12,15.8,7000,110600.0,110844.97,Sold,TP
442,119,2017-10-19,2017,10,68.5,1000,68500.0,68651.73,Sold,TP
443,50,2018-01-04,2018,1,19.0,5000,95000.0,95210.42,Sold,TP
444,137,2017-08-17,2017,8,34.75,2000,69500.0,69653.94,Sold,TP
445,110,2018-01-05,2018,1,10.3,6000,61800.0,61936.89,Sold,DIV
446,127,2018-01-08,2018,1,39.0,8000,312000.0,312691.05,Sold,TP
447,120,2017-11-02,2017,11,53.5,2000,107000.0,107236.99,Sold,TP
448,111,2018-01-09,2018,1,17.4,21000,365400.0,366209.33,Sold,TP
449,126,2017-12-26,2017,12,17.0,5000,85000.0,85188.27,Sold,TP
450,125,2018-01-09,2018,1,9.4,5000,47000.0,47104.1,Sold,DTD
452,126,2017-12-26,2017,12,17.0,5000,85000.0,85188.27,Sold,TP
697,96,2020-04-15,2020,4,60.0,1500,90000.0,90199.34,Sold,DTD
698,54,2020-04-16,2020,4,47.0,3000,141000.0,141312.3,Sold,DTD
860,96,2021-02-18,2021,2,52.0,3000,156000.0,156345.52,Sold,DTD
700,176,2020-04-21,2020,4,17.6,3000,52800.0,52916.95,Sold,DOS
